all 1
doesn't move
count,x axis,y axis,DRV_PW,STR_PW

12,     103,    40,     2786,   2658
24,     118,    40,     2801,   2643
36,     122,    37,     2802,   2639
48,     114,    42,     2799,   2647
60,     116,    38,     2797,   2645
72,     123,    40,     2806,   2638
84,     122,    38,     2803,   2639
96,     114,    41,     2798,   2647
108,    122,    38,     2803,   2639
132,    120,    41,     2804,   2641
144,    112,    42,     2797,   2649
156,    123,    41,     2807,   2638
168,    120,    41,     2804,   2641
180,    118,    42,     2803,   2643
192,    112,    45,     2800,   2649
204,    124,    44,     2811,   2637
216,    120,    41,     2804,   2641
228,    116,    41,     2800,   2645
240,    118,    41,     2802,   2643
252,    119,    41,     2803,   2642
264,    116,    38,     2797,   2645
276,    119,    41,     2803,   2642
288,    115,    38,     2796,   2646
300,    123,    41,     2807,   2638
312,    119,    41,     2803,   2642
324,    116,    38,     2797,   2645
336,    119,    41,     2803,   2642
348,    119,    40,     2802,   2642
360,    115,    40,     2798,   2646
