all 1, except ks = 10
turns to face up hill, then stops
count,x axis,y axis,DRV_PW,STR_PW

12,     114,    41,     3050,   2647
24,     119,    46,     3105,   2642
36,     120,    41,     3110,   2641
48,     120,    45,     3114,   2641
60,     118,    44,     3093,   2643
72,     122,    38,     3127,   2639
84,     119,    42,     3101,   2642
96,     118,    42,     3091,   2643
108,    118,    41,     3090,   2643
120,    120,    42,     3111,   2641
132,    123,    45,     3144,   2638
144,    114,    48,     3057,   2647
156,    112,    37,     3026,   2649
168,    116,    42,     3071,   2645
180,    122,    45,     3134,   2639
192,    115,    40,     3059,   2646
204,    120,    38,     3107,   2641
216,    118,    38,     3087,   2643
228,    115,    41,     3060,   2646
240,    116,    45,     3074,   2645
252,    116,    37,     3066,   2645
264,    120,    49,     3118,   2641
276,    204,    57,     3966,   2557
288,    302,    88,     4977,   2459
300,    247,    77,     4416,   2514
312,    163,    92,     3591,   2598
324,    199,    150,    4009,   2562
336,    230,    96,     4265,   2531
348,    244,    88,     4397,   2517
360,    246,    96,     4425,   2515
372,    232,    90,     4279,   2529
384,    222,    88,     4177,   2539
396,    246,    101,    4430,   2515
408,    236,    102,    4331,   2525
420,    228,    101,    4250,   2533
432,    224,    120,    4229,   2537
444,    211,    105,    4084,   2550
456,    198,    118,    3967,   2563
468,    187,    113,    3852,   2574
480,    172,    98,     3687,   2589
492,    143,    70,     3369,   2618
504,    104,    42,     2951,   2657
516,    102,    -62,    2827,   2659
528,    100,    62,     2931,   2661
540,    104,    54,     2963,   2657
552,    99,     57,     2916,   2662
564,    99,     56,     2915,   2662
576,    103,    53,     2952,   2658
588,    100,    57,     2926,   2661
600,    99,     60,     2919,   2662
612,    99,     57,     2916,   2662
624,    102,    60,     2949,   2659
636,    102,    56,     2945,   2659
648,    100,    57,     2926,   2661
660,    100,    57,     2926,   2661
684,    103,    56,     2955,   2658
708,    103,    57,     2956,   2658
720,    103,    57,     2956,   2658
732,    98,     50,     2899,   2663
744,    106,    56,     2985,   2655
756,    96,     57,     2886,   2665
768,    98,     56,     2905,   2663
780,    102,    58,     2947,   2659
792,    103,    57,     2956,   2658
804,    103,    57,     2956,   2658
816,    99,     54,     2913,   2662
828,    95,     56,     2875,   2666
840,    102,    54,     2943,   2659
852,    99,     57,     2916,   2662
864,    95,     56,     2875,   2666
876,    100,    61,     2930,   2661
888,    102,    62,     2951,   2659
900,    100,    57,     2926,   2661
912,    100,    50,     2919,   2661
924,    99,     57,     2916,   2662
936,    108,    61,     3010,   2653
948,    96,     57,     2886,   2665
960,    104,    61,     2970,   2657
972,    102,    56,     2945,   2659
984,    99,     60,     2919,   2662
996,    108,    65,     3014,   2653
1008,   100,    61,     2930,   2661
1020,   108,    73,     3022,   2653
