ks= 10, all others are 15 
this is the good one
count,x axis,y axis,DRV_PW,STR_PW

12,     172,    61,     4430,   2135
24,     171,    142,    5630,   2135
36,     190,    86,     5075,   2135
48,     187,    66,     4730,   2135
60,     179,    74,     4730,   2135
72,     192,    101,    5330,   2135
84,     196,    116,    5615,   2135
96,     178,    108,    5225,   2135
108,    174,    136,    5585,   2135
120,    180,    152,    5915,   2135
132,    178,    158,    5975,   2135
156,    166,    164,    5885,   2135
168,    155,    178,    5930,   2135
180,    152,    184,    5975,   2135
192,    138,    160,    5405,   2155
204,    134,    177,    5600,   2195
216,    131,    181,    5615,   2225
228,    124,    170,    5345,   2295
240,    116,    181,    5390,   2375
252,    115,    180,    5360,   2385
264,    106,    158,    4895,   2475
276,    87,     138,    4310,   2665
288,    76,     128,    4295,   2775
300,    62,     118,    4355,   2915
312,    50,     108,    4385,   3035
324,    60,     85,     3890,   2935
336,    77,     97,     3815,   2765
348,    90,     96,     3725,   2635
360,    100,    90,     3785,   2535
372,    107,    93,     3935,   2465
384,    98,     105,    3980,   2555
396,    88,     125,    4130,   2655
408,    95,     116,    4100,   2585
420,    90,     92,     3665,   2635
432,    68,     60,     3395,   2855
444,    58,     -12,    2465,   2955
456,    74,     -150,   155,    2795
468,    50,     23,     3110,   3035
480,    65,     -8,     2420,   2885
492,    54,     -8,     2585,   2995
504,    60,     -2,     2585,   2935
516,    60,     -9,     2480,   2935
528,    61,     -8,     2480,   2925
540,    58,     7,      2750,   2955
552,    54,     4,      2765,   2995
564,    58,     -2,     2615,   2955
576,    62,     -2,     2555,   2915
588,    62,     -1,     2570,   2915
600,    57,     -2,     2630,   2965
612,    61,     -1,     2585,   2925
624,    58,     2,      2675,   2955
636,    57,     2,      2690,   2965
648,    60,     -1,     2600,   2935
660,    57,     -2,     2630,   2965
672,    61,     -2,     2570,   2925
684,    60,     -2,     2585,   2935
