ks= 10 kdy = 100, all others are 15 
this one works
count,x axis,y axis,DRV_PW,STR_PW



12,     134,    45,     4145,   2195
24,     155,    150,    14855,  2135
36,     162,    72,     7125,   2135
48,     162,    76,     7525,   2135
60,     172,    98,     9825,   2135
72,     172,    93,     9325,   2135
84,     171,    108,    10815,  2135
96,     171,    141,    14115,  2135
108,    170,    136,    13605,  2135
120,    171,    158,    15815,  2135
132,    164,    164,    16345,  2135
144,    156,    174,    17265,  2135
156,    151,    184,    18215,  2135
168,    139,    177,    17395,  2145
180,    134,    185,    18145,  2195
192,    122,    181,    17625,  2315
204,    130,    194,    19005,  2235
216,    116,    181,    17565,  2375
228,    112,    194,    18825,  2415
240,    107,    180,    17375,  2465
252,    98,     185,    17785,  2555
264,    92,     154,    14625,  2615
276,    69,     145,    13835,  2845
288,    57,     116,    11055,  2965
300,    58,     105,    9945,   2955
312,    58,     108,    10245,  2955
324,    65,     94,     8775,   2885
336,    81,     105,    9715,   2725
348,    107,    106,    9975,   2465
360,    128,    80,     7585,   2255
372,    115,    81,     7555,   2385
384,    91,     109,    10115,  2625
396,    92,     132,    12425,  2615
408,    90,     128,    12005,  2635
420,    92,     112,    10425,  2615
432,    66,     65,     5865,   2875
444,    48,     12,     745,    3055
456,    69,     -166,   48271,  2845
468,    58,     19,     1345,   2955
480,    61,     -13,    63651,  2925
492,    62,     -5,     64441,  2915
504,    60,     -8,     64161,  2935
516,    62,     -6,     64341,  2915
528,    61,     -12,    63751,  2925
540,    58,     -9,     64081,  2955
552,    58,     -9,     64081,  2955
564,    62,     -8,     64141,  2915
576,    61,     -5,     64451,  2925
588,    60,     -5,     64461,  2935
600,    58,     -9,     64081,  2955
612,    57,     -9,     64091,  2965
624,    56,     -13,    63701,  2975
636,    62,     -16,    63341,  2915
660,    62,     -12,    63741,  2915
672,    56,     -8,     64201,  2975
684,    61,     -4,     64551,  2925
696,    61,     -10,    63951,  2925
708,    61,     -5,     64451,  2925
720,    64,     -8,     64121,  2895
732,    58,     -9,     64081,  2955
744,    58,     -8,     64181,  2955
756,    61,     -12,    63751,  2925
