ks= 10 kdy = 100, ki = 1, kdx = 15
Goes to the top of the hill then reverses down the hill then moves back up and stops
count,x axis,y axis,DRV_PW,STR_PW


12,     49,     156,    15135,  3045
24,     33,     221,    21795,  3175
36,     38,     166,    16245,  3155
48,     61,     192,    18615,  2925
60,     77,     197,    18955,  2765
72,     70,     224,    21725,  2835
84,     81,     201,    19315,  2725
96,     85,     212,    20375,  2685
108,    94,     208,    20045,  2595
120,    92,     200,    19225,  2615
132,    88,     189,    18085,  2655
144,    82,     182,    17405,  2715
156,    66,     142,    13565,  2875
168,    70,     134,    12725,  2835
180,    68,     121,    11445,  2855
192,    60,     113,    10725,  2935
204,    50,     86,     8125,   3035
216,    60,     93,     8725,   2935
228,    84,     106,    9785,   2695
240,    103,    122,    11535,  2505
252,    118,    94,     8885,   2355
264,    118,    90,     8485,   2355
276,    107,    106,    9975,   2465
288,    91,     124,    11615,  2625
300,    73,     108,    10095,  2805
312,    54,     85,     7985,   2995
324,    36,     31,     2765,   3175
336,    84,     -156,   49121,  2695
348,    60,     24,     1825,   2935
360,    69,     11,     435,    2845
372,    68,     14,     745,    2855
384,    70,     -1,     64761,  2835
396,    69,     18,     1135,   2845
408,    69,     4,      65271,  2845
420,    69,     11,     435,    2845
432,    69,     10,     335,    2845
444,    72,     0,      64841,  2815
456,    69,     19,     1235,   2845
468,    73,     24,     1695,   2805
480,    76,     10,     265,    2775
492,    72,     34,     2705,   2815
504,    70,     248,    24125,  2835
516,    76,     101,    9365,   2775
528,    77,     165,    15755,  2765
540,    86,     124,    11565,  2675
552,    81,     64,     5615,   2725
564,    49,     37,     3235,   3045
576,    36,     -80,    57201,  3175
588,    42,     -26,    62541,  3115
600,    73,     -89,    55931,  2805
612,    50,     11,     625,    3035
624,    50,     -1,     64961,  3035
636,    52,     2,      65241,  3015
648,    52,     0,      65041,  3015
660,    53,     4,      65431,  3005
672,    52,     -4,     64641,  3015
684,    52,     -2,     64841,  3015
696,    53,     0,      65031,  3005
708,    56,     0,      65001,  2975
720,    53,     -4,     64631,  3005
732,    52,     3,      65341,  3015
744,    54,     2,      65221,  2995
756,    53,     -2,     64831,  3005
768,    54,     -2,     64821,  2995
780,    53,     4,      65431,  3005
792,    57,     0,      64991,  2965
804,    52,     -1,     64941,  3015
816,    54,     -6,     64421,  2995
828,    54,     -5,     64521,  2995
840,    45,     -1,     65011,  3085
852,    50,     2,      65261,  3035
864,    56,     0,      65001,  2975
876,    65,     0,      64911,  2885
